Number "CA PM" "Abs PM" ID ID Name Lanes
1 0.858 0.854 1113383 201 "JEFFERSON ST" 2
2 1.594 1.59 1113854 200 "EL CAMINO REAL" 1
3 3.168 3.16 "LDS 110423" 0 "COLLEGE BLBD" Missing
4 3.586 3.582 1113785 199 "PLAZA DR" 2
5 4.474 4.47 1113849 24 "EMERALD DR" 2
6 5.724 5.72 "LDS 110433" 0 "MELROSE DR" Missing
7 6.32 6.316 1113846 205 "VISTA VILLAGE DR" 2
8 6.886 6.882 1113843 198 ESCONDIDO/SUNSET 2
9 7.796 7.792 1113567 197 "MAR VISTA DR" 1
10 9.218 9.214 1113565 203 "SYCAMORE AVE" 2
11 10.68 10.676 1113562 152 "RANCHO SANTA FE RD" 2
12 11.364 11.36 1116448 398 "Las Posas Rd" 2
13 12.274 12.27 1113857 180 "SAN MARCOS BLVD" 2
14 13.022 13.018 1113558 234 "TWIN OAKS VALLEY RD" 2
15 13.84 13.8 "LDS 110466" 0 "BARHAM DR" Missing
16 R15.597 15.593 1113957 13006 "NORDAHL RD" 2
