Number "CA PM" "Abs PM" ID RMIS_iD Name Lanes HOV "Agg. Max demand (veh/hr)"
1 0.858 0.854 1108642 201 "JEFFERSON ST" 3 No 557
2 1.594 1.59 1108640 200 "EL CAMINO REAL" 2 No 2360
3 3.586 3.582 1108638 199 "PLAZA DR (COLLEGE)" 2 No 871
4 4.474 4.47 1108329 24 "EMERALD DR" 2 No 1112
5 6.32 6.316 1108650 205 "VISTA VILLAGE DR" 3 No 1574
6 6.886 6.882 1108636 198 SUNSET/ESCONDIDO 2 No 1205
7 7.796 7.792 1108634 197 "MAR VISTA DR" 2 No 442
8 9.218 9.214 1108646 203 "SYCAMORE AVE" 3 No 1109
9 10.68 10.676 1108550 152 "RANCHO SANTA FE RD" 2 No 868
10 11.364 11.36 1116450 398 "Las Posas Rd" 2 No 846
11 12.274 12.27 1108602 180 "SAN MARCOS BLVD" 3 No 1891
12 13.022 13.018 1113559 234 "TWIN OAKS VALLEY RD" 3 No 2786
13 14.86 14.856 1108703 236 "BARHAM DR" 2 No 844
14 R15.597 15.593 1108707 13006 "NORDAHL RD" 2 No 1182
